_c0,Crisis_Yes_No,Category,Summary,Why_A_Crisis,Locations,Number of People Affected
10843,Yes,Labour Exploitation,"B.C. businesses are hiring a record number of temporary foreign workers as they struggle to fill jobs. The latest federal data show there were more than 32,200 people in B.C. under the federal government’s Temporary Foreign Worker Program at the end of 2022. The surge is partially attributable to new federal regulations in September that urged businesses to register with provincial Employment Standards Branch.","The influx of foreign workers is a sign of labour exploitation, as employers are unable to hire Canadian residents for the positions and are taking advantage of the Temporary Foreign Worker Program.",B.C.,"32,200"
9280,No,,,,,
12078,Yes,Winter Storm,"The National Weather Service issued a Winter Storm Warning for the Duluth/Superior area, which includes significant snowfall, strong winds, and dangerous cold. Total snow accumulations of 5 to 10 inches with local amounts up to 13 inches in Douglas County are expected. Winds gusting as high as 40 mph.",The hazardous conditions could impact the morning or evening commute and the cold wind chills as low as 25 below zero could cause frostbite on exposed skin in as little as 30 minutes.,"Minnesota, Wisconsin",
18917,Yes,Statelessness,"Shamima Begum, a 15 year old British citizen, travelled to Syria to join the so-called Islamic State in 2015. Her British citizenship was revoked by the Home Office shortly after she was found in a Syrian refugee camp in 2019. She has been challenging the Home Office in court and her lawyers argued that the Home Office had a duty to investigate whether she was a victim of trafficking before stripping her of her British citizenship. The tribunal heard that she was “recruited, transported, transferred, harboured and received in Syria for the purposes of ‘sexual exploitation’ and ‘marriage’ to an adult male”.","The decision to remove her British citizenship made Ms Begum “de facto stateless”, where she had no practical right to citizenship in Bangladesh, with Bangladeshi authorities stating that she is not a citizen of Bangladesh.","Syria, Bangladesh",1
17469,No,,,,,
9536,No,,,,,
17709,No,,,,,
26278,No,,,,,
3749,No,,,,,
2724,Yes,Infant Care,"A global study found that most babies born to mothers with COVID-19 were separated after birth resulting in low breastfeeding and skin-to-skin contact rates during the height of the pandemic. Despite transmission of COVID-19 from mother to baby being rare and generally mild, almost half of all babies did not receive any breast milk.","The separation of mothers and babies has caused a disruption in the mother-baby bonding process, which is essential for the infant's development.",10 countries,692 babies
11338,Yes,Environmental Displacement,"A migratory whooper swan wearing an identification collar was spotted for the first time in Lanzhou, China. Researchers discovered that the number of wintering whooper swans at a habitat on the local section of the Yellow River has slightly increased from 17 a year ago to 23. The bird was spotted in Gansu's neighboring province of Qinghai in December 2021, indicating that its wintering site is not fixed.",The displacement of the whooper swan due to environmental changes is a humanitarian crisis as it affects the livelihood of the species and the people who depend on them.,"Lanzhou, China, Qinghai, China",Unknown
3481,Yes,Wildfire,"Authorities are investigating three fires in Berkeley Township, NJ that appear to have been intentionally set. Witnesses are needed to assist in the investigation. Firefighters were able to put out the fires.",The fires caused destruction of property and could have caused injury or death to people in the area.,"Berkeley Township, NJ",
